index,budget,genres,homepage,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,cast,director,userId
71,145000000,Adventure Action Fantasy,http://www.themummy.com/,1735,,en,The Mummy: Tomb of the Dragon Emperor,60.034162,01-07-2008,401128639,112,Released,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen,4
72,175000000,Action Adventure Crime Fantasy Science Fiction,http://www.suicidesquad.com/,297761,dc comics shared universe anti hero secret mission villain,en,Suicide Squad,90.23792,02-08-2016,745000000,123,Released,Worst Heroes Ever,Suicide Squad,5.9,7458,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer,28
73,175000000,Fantasy Comedy Family,http://www.evanalmighty.com/,2698,father son relationship daily life married couple support father,en,Evan Almighty,27.082182,09-06-2007,173000000,96,Released,A comedy of biblical proportions,Evan Almighty,5.3,1151,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac,15
74,178000000,Action Science Fiction,http://www.edgeoftomorrowmovie.com/,137113,deja vu time warp restart dystopia war,en,Edge of Tomorrow,79.456485,27-05-2014,370541256,113,Released,"Live, Die, Repeat",Edge of Tomorrow,7.6,4858,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman,41
75,175000000,Adventure Action,,9804,ocean tattoo mutant water dystopia,en,Waterworld,44.640292,28-07-1995,264218220,135,Released,Beyond the horizon lies the secret to a new beginning.,Waterworld,5.9,992,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds,47
76,175000000,Adventure Action Thriller Science Fiction,http://www.gijoemovie.com/,14869,terrorist secret hostage technology warhead,en,G.I. Joe: The Rise of Cobra,32.852443,04-08-2009,302469017,118,Released,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,,1962,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers,50
77,175000000,Drama Comedy Animation Family,http://movies.disney.com/inside-out,150540,dream cartoon imaginary friend animation family,en,Inside Out,128.655964,09-06-2015,857611174,,Released,Meet the little voices inside your head.,Inside Out,8,6560,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter,37
78,175000000,Family Adventure Drama Fantasy,http://movies.disney.com/the-jungle-book-2016,278927,based on novel snake wolf elephant tiger,en,The Jungle Book,94.199316,07-04-2016,966550600,106,Released,,The Jungle Book,6.7,2892,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau,24
79,200000000,Adventure Action Science Fiction,http://www.ironmanmovie.com/,10138,malibu marvel comic superhero based on comic book revenge,en,Iron Man 2,77.300194,28-04-2010,623933331,124,Released,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6849,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau,3
80,170000000,Adventure Fantasy Drama,http://www.snowwhiteandthehuntsman.com/,58595,queen magic fairy tale immortality forest,en,Snow White and the Huntsman,77.178973,30-05-2012,396600000,127,Released,The Fairytale is Over,Snow White and the Huntsman,5.8,3118,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders,33
